station1,station2,line,station1name,station2name,station1rating,station2rating
160,266,10,0,0,0,0
176,234,10,0,0,0,0
182,194,10,0,0,0,0
187,232,10,0,0,0,0
210,235,10,0,0,0,0
220,222,10,0,0,0,0
235,251,10,0,0,0,0
251,252,10,0,0,0,0
266,303,10,0,0,0,0
26,260,11,0,0,0,0
26,274,11,0,0,0,0
35,245,11,0,0,0,0
89,145,11,0,0,0,0
89,277,11,0,0,0,0
95,123,11,0,0,0,0
95,224,11,0,0,0,0
107,192,11,0,0,0,0
107,273,11,0,0,0,0
123,145,11,0,0,0,0
192,277,11,0,0,0,0
198,272,11,0,0,0,0
198,273,11,0,0,0,0
224,260,11,0,0,0,0
245,272,11,0,0,0,0
13,279,12,0,0,0,0
4,70,13,0,0,0,0
4,201,13,0,0,0,0
13,225,13,0,0,0,0
19,97,13,0,0,0,0
20,65,13,0,0,0,0
20,217,13,0,0,0,0
27,79,13,0,0,0,0
27,201,13,0,0,0,0
32,70,13,0,0,0,0
32,204,13,0,0,0,0
42,120,13,0,0,0,0
42,292,13,0,0,0,0
43,79,13,0,0,0,0
43,219,13,0,0,0,0
43,304,13,0,0,0,0
61,171,13,0,0,0,0
61,238,13,0,0,0,0
63,203,13,0,0,0,0
63,219,13,0,0,0,0
64,106,13,0,0,0,0
64,135,13,0,0,0,0
65,97,13,0,0,0,0
69,86,13,0,0,0,0
69,106,13,0,0,0,0
86,152,13,0,0,0,0
120,238,13,0,0,0,0
135,171,13,0,0,0,0
155,225,13,0,0,0,0
155,284,13,0,0,0,0
201,284,13,0,0,0,0
201,292,13,0,0,0,0
203,217,13,0,0,0,0
204,247,13,0,0,0,0
225,262,13,0,0,0,0
284,292,13,0,0,0,0
304,305,13,0,0,0,0
305,306,13,0,0,0,0
306,307,13,0,0,0,0
